"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교과코드","교과차수","상위교과","교과명","교원수(남)","교원수(여)","교원수(계)"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","011122301010104","","선택중심교육과정-보통교과-기초-한국사","한국사","0","2","2"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","011122301010103","","선택중심교육과정-보통교과-기초-영어","영어","0","9","9"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","011122301010102","","선택중심교육과정-보통교과-기초-수학","수학","3","6","9"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","011122301010101","","선택중심교육과정-보통교과-기초-국어","국어","1","9","10"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","011122301010401","","선택중심교육과정-보통교과-생활？교양-기술·가정/제2외국어/한문/교양","기술·가정/제2외국어/한문/교양","2","3","5"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","011122301010202","","선택중심교육과정-보통교과-탐구-과학","과학","5","4","9"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","011122301010301","","선택중심교육과정-보통교과-체육？예술-체육","체육","3","1","4"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","011122301010302","","선택중심교육과정-보통교과-체육？예술-예술","예술","2","1","3"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","011122301010201","","선택중심교육과정-보통교과-탐구-사회(역사/도덕포함)","사회(역사/도덕포함)","2","6","8"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","011122301010102","","선택중심교육과정-보통교과-기초-수학","수학","3","6","9"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","011122301010101","","선택중심교육과정-보통교과-기초-국어","국어","4","4","8"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","011122301010302","","선택중심교육과정-보통교과-체육？예술-예술","예술","0","3","3"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","011122301010401","","선택중심교육과정-보통교과-생활？교양-기술·가정/제2외국어/한문/교양","기술·가정/제2외국어/한문/교양","2","2","4"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","011122301010103","","선택중심교육과정-보통교과-기초-영어","영어","1","6","7"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","011122301010301","","선택중심교육과정-보통교과-체육？예술-체육","체육","3","0","3"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","011122301010202","","선택중심교육과정-보통교과-탐구-과학","과학","4","1","5"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","011122301010201","","선택중심교육과정-보통교과-탐구-사회(역사/도덕포함)","사회(역사/도덕포함)","2","5","7"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","011122301010104","","선택중심교육과정-보통교과-기초-한국사","한국사","2","0","2"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","011122301010101","","선택중심교육과정-보통교과-기초-국어","국어","10","1","11"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","011122301010102","","선택중심교육과정-보통교과-기초-수학","수학","9","2","11"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","011122301010103","","선택중심교육과정-보통교과-기초-영어","영어","6","3","9"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","011122301010104","","선택중심교육과정-보통교과-기초-한국사","한국사","2","0","2"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","011122301010401","","선택중심교육과정-보통교과-생활？교양-기술·가정/제2외국어/한문/교양","기술·가정/제2외국어/한문/교양","5","4","9"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","011122301010301","","선택중심교육과정-보통교과-체육？예술-체육","체육","4","0","4"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","011122301010202","","선택중심교육과정-보통교과-탐구-과학","과학","8","5","13"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","011122301010201","","선택중심교육과정-보통교과-탐구-사회(역사/도덕포함)","사회(역사/도덕포함)","3","1","4"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","011122301010302","","선택중심교육과정-보통교과-체육？예술-예술","예술","3","2","5"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","011122301010401","","선택중심교육과정-보통교과-생활？교양-기술·가정/제2외국어/한문/교양","기술·가정/제2외국어/한문/교양","0","7","7"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","011122301010101","","선택중심교육과정-보통교과-기초-국어","국어","0","8","8"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","011122301010102","","선택중심교육과정-보통교과-기초-수학","수학","1","7","8"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","011122301010103","","선택중심교육과정-보통교과-기초-영어","영어","0","8","8"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","011122301010104","","선택중심교육과정-보통교과-기초-한국사","한국사","1","1","2"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","011122301010201","","선택중심교육과정-보통교과-탐구-사회(역사/도덕포함)","사회(역사/도덕포함)","2","6","8"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","011122301010202","","선택중심교육과정-보통교과-탐구-과학","과학","4","5","9"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","011122301010301","","선택중심교육과정-보통교과-체육？예술-체육","체육","2","2","4"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","011122301010302","","선택중심교육과정-보통교과-체육？예술-예술","예술","0","4","4"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","011122301010104","","선택중심교육과정-보통교과-기초-한국사","한국사","2","1","3"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","011122301010103","","선택중심교육과정-보통교과-기초-영어","영어","6","4","10"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","011122301010401","","선택중심교육과정-보통교과-생활？교양-기술·가정/제2외국어/한문/교양","기술·가정/제2외국어/한문/교양","3","3","6"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","011122301010102","","선택중심교육과정-보통교과-기초-수학","수학","10","0","10"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","011122301010301","","선택중심교육과정-보통교과-체육？예술-체육","체육","4","0","4"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","011122301010302","","선택중심교육과정-보통교과-체육？예술-예술","예술","2","4","6"
