고등교과목,교과 종류,과목군
화법과 작문,일반 선택,국어
독서,일반 선택,국어
언어와 매체,일반 선택,국어
문학,일반 선택,국어
실용 국어,진로 선택,국어
심화 국어,진로 선택,국어
고전 읽기,진로 선택,국어
수학Ⅰ,일반 선택,수학
수학Ⅱ,일반 선택,수학
미적분,일반 선택,수학
확률과 통계,일반 선택,수학
기본 수학,진로 선택,수학
실용 수학,진로 선택,수학
인공지능 수학,진로 선택,수학
기하,진로 선택,수학
경제 수학,진로 선택,수학
수학과제 탐구,진로 선택,수학
영어Ⅰ,일반 선택,영어
영어Ⅱ,일반 선택,영어
영어 회화,일반 선택,영어
영어 독해와 작문,일반 선택,영어
기본 영어,진로 선택,영어
실용 영어,진로 선택,영어
영어권 문화,진로 선택,영어
진로 영어,진로 선택,영어
영미 문학 읽기,진로 선택,영어
한국지리,일반 선택,사회(역사/도덕포함)
세계지리,일반 선택,사회(역사/도덕포함)
세계사,일반 선택,사회(역사/도덕포함)
동아시아사,일반 선택,사회(역사/도덕포함)
경제,일반 선택,사회(역사/도덕포함)
정치와 법,일반 선택,사회(역사/도덕포함)
사회 문화,일반 선택,사회(역사/도덕포함)
생활과 윤리,일반 선택,사회(역사/도덕포함)
윤리와 사상,일반 선택,사회(역사/도덕포함)
여행지리,진로 선택,사회(역사/도덕포함)
사회문제 탐구,진로 선택,사회(역사/도덕포함)
고전과 윤리,진로 선택,사회(역사/도덕포함)
물리학Ⅰ,일반 선택,과학
화학Ⅰ,일반 선택,과학
생명과학Ⅰ,일반 선택,과학
지구과학Ⅰ,일반 선택,과학
물리학Ⅱ,진로 선택,과학
화학Ⅱ,진로 선택,과학
생명과학Ⅱ,진로 선택,과학
지구과학Ⅱ,진로 선택,과학
과학사,진로 선택,과학
생활과 과학,진로 선택,과학
융합과학,진로 선택,과학
체육,일반 선택,체육
운동과 건강,일반 선택,체육
스포츠 생활,진로 선택,체육
체육 탐구,진로 선택,체육
음악,일반 선택,예술
미술,일반 선택,예술
연극,일반 선택,예술
음악 연주,진로 선택,예술
음악 감상과 비평,진로 선택,예술
미술 창착,진로 선택,예술
미술 감상과 비평,진로 선택,예술
기술·가정,일반 선택,기술·가정/제2외국어/한문/교양
정보,일반 선택,기술·가정/제2외국어/한문/교양
농업 생명 과학,진로 선택,기술·가정/제2외국어/한문/교양
공학 일반,진로 선택,기술·가정/제2외국어/한문/교양
창의 경영,진로 선택,기술·가정/제2외국어/한문/교양
해양 문화와 기술,진로 선택,기술·가정/제2외국어/한문/교양
가정과학,진로 선택,기술·가정/제2외국어/한문/교양
지식 재산 일반,진로 선택,기술·가정/제2외국어/한문/교양
인공지능 기초,진로 선택,기술·가정/제2외국어/한문/교양
독일어Ⅰ,일반 선택,기술·가정/제2외국어/한문/교양
프랑스어Ⅰ,일반 선택,기술·가정/제2외국어/한문/교양
스페인어Ⅰ,일반 선택,기술·가정/제2외국어/한문/교양
중국어Ⅰ,일반 선택,기술·가정/제2외국어/한문/교양
일본어Ⅰ,일반 선택,기술·가정/제2외국어/한문/교양
러시아어Ⅰ,일반 선택,기술·가정/제2외국어/한문/교양
아랍어Ⅰ,일반 선택,기술·가정/제2외국어/한문/교양
베트남어Ⅰ,일반 선택,기술·가정/제2외국어/한문/교양
독일어Ⅱ,진로 선택,기술·가정/제2외국어/한문/교양
프랑스어Ⅱ,진로 선택,기술·가정/제2외국어/한문/교양
스페인어Ⅱ,진로 선택,기술·가정/제2외국어/한문/교양
중국어Ⅱ,진로 선택,기술·가정/제2외국어/한문/교양
일본어Ⅱ,진로 선택,기술·가정/제2외국어/한문/교양
러시아어Ⅱ,진로 선택,기술·가정/제2외국어/한문/교양
아랍어Ⅱ,진로 선택,기술·가정/제2외국어/한문/교양
베트남어Ⅱ,진로 선택,기술·가정/제2외국어/한문/교양
한문Ⅰ,일반 선택,기술·가정/제2외국어/한문/교양
한문Ⅱ,진로 선택,기술·가정/제2외국어/한문/교양
철학,일반 선택,기술·가정/제2외국어/한문/교양
논리학,일반 선택,기술·가정/제2외국어/한문/교양
심리학,일반 선택,기술·가정/제2외국어/한문/교양
교육학,일반 선택,기술·가정/제2외국어/한문/교양
종교학,일반 선택,기술·가정/제2외국어/한문/교양
진로와 직업,일반 선택,기술·가정/제2외국어/한문/교양
보건,일반 선택,기술·가정/제2외국어/한문/교양
환경,일반 선택,기술·가정/제2외국어/한문/교양
실용 경제,일반 선택,기술·가정/제2외국어/한문/교양
논술,일반 선택,기술·가정/제2외국어/한문/교양
심화 수학Ⅰ,전문교과Ⅰ,과학 계열
심화 수학Ⅱ,전문교과Ⅰ,과학 계열
고급 수학Ⅰ,전문교과Ⅰ,과학 계열
고급 수학Ⅱ,전문교과Ⅰ,과학 계열
고급 물리학,전문교과Ⅰ,과학 계열
고급 화학,전문교과Ⅰ,과학 계열
고급 생명과학,전문교과Ⅰ,과학 계열
