ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,SD_SCHUL_CODE,AY,Latitude,Longitude,고등학교구분명,location_Cluster,sub_Cluster,final_Cluster
B10,서울특별시교육청,7010057,2022,37.5027048,127.1167066,일반고,9,1,3
B10,서울특별시교육청,7011169,2022,37.569395,126.914542,일반고,5,1,8
B10,서울특별시교육청,7010117,2022,37.55092,127.16163,일반고,3,1,10
B10,서울특별시교육청,7010118,2022,37.53682595,126.8665619808,일반고,0,1,11
B10,서울특별시교육청,7010270,2022,37.5761628,126.8149871,특성화고,0,5,12
B10,서울특별시교육청,7010958,2022,37.563487,127.1787024,일반고,3,1,9
B10,서울특별시교육청,7010058,2022,37.4849152,127.0583211,일반고,1,1,22
B10,서울특별시교육청,7010119,2022,37.54184695,127.0771148622,일반고,9,1,3
B10,서울특별시교육청,7010059,2022,37.51614685,127.055751424,일반고,1,1,22
B10,서울특별시교육청,7010271,2022,37.64522,127.06673,특성화고,2,5,28
B10,서울특별시교육청,7010272,2022,37.58855965,126.9697676475,특성화고,5,11,4
B10,서울특별시교육청,7010060,2022,37.487175,127.065613,일반고,1,1,19
B10,서울특별시교육청,7010061,2022,37.58554,127.01214,자율고,8,1,33
B10,서울특별시교육청,7010120,2022,37.49247655,126.9816861058,일반고,1,1,18
B10,서울특별시교육청,7010062,2022,37.5868704,126.9715431632,일반고,5,1,4
B10,서울특별시교육청,7010835,2022,37.55808635,126.8526073672,특성화고,0,11,11
B10,서울특별시교육청,7010122,2022,37.55830485,126.8511926345,일반고,0,1,16
B10,서울특별시교육청,7010124,2022,37.5581136,126.9086053,일반고,5,1,5
B10,서울특별시교육청,7010125,2022,37.5875025,126.9998726,일반고,8,9,33
B10,서울특별시교육청,7010563,2022,37.4969695,126.8649785,일반고,0,9,14
B10,서울특별시교육청,7010698,2022,37.5469835,127.0509327,자율고,1,1,21
B10,서울특별시교육청,7010126,2022,37.5949865,127.0549096899,자율고,7,1,37
B10,서울특별시교육청,7010127,2022,37.5949865,127.0549096899,일반고,7,1,37
B10,서울특별시교육청,7011312,2022,37.6075246,127.0203671397,일반고,8,1,29
B10,서울특별시교육청,7010797,2022,37.60939835,127.0013218116,일반고,8,1,32
B10,서울특별시교육청,7011487,2022,37.598117,127.0209915,특성화고,8,11,31
B10,서울특별시교육청,7010063,2022,37.5064833,126.8554808,자율고,0,1,16
B10,서울특별시교육청,7010064,2022,37.5701427,126.8193294,일반고,0,1,12
B10,서울특별시교육청,7010065,2022,37.5224531,126.8842074,일반고,0,1,16
B10,서울특별시교육청,7010066,2022,37.5392797,127.0983829,일반고,9,1,3
B10,서울특별시교육청,7010131,2022,37.5228928,127.1461625,일반고,3,1,9
B10,서울특별시교육청,7010132,2022,37.5489751,126.9363256,일반고,5,1,8
B10,서울특별시교육청,7010133,2022,37.4642078,126.9247279647,일반고,4,1,41
B10,서울특별시교육청,7011488,2022,37.4642078,126.9247279647,특성화고,4,0,38
B10,서울특별시교육청,7010067,2022,37.5296488,127.0842557,자율고,9,1,1
B10,서울특별시교육청,7010134,2022,37.5387459,126.8254855,일반고,0,1,14
B10,서울특별시교육청,7010135,2022,37.5387459,126.8254855,일반고,0,1,16
B10,서울특별시교육청,7011505,2022,37.6193282,127.056928,특성화고,2,10,24
B10,서울특별시교육청,7010068,2022,37.500023,126.8896603,일반고,4,1,38
B10,서울특별시교육청,7011111,2022,37.4930021,126.9455286,일반고,4,1,40
B10,서울특별시교육청,7010069,2022,37.49395395,126.8739432204,일반고,0,1,16
B10,서울특별시교육청,7010827,2022,37.5026693,126.8746664,자율고,0,1,16
B10,서울특별시교육청,7010071,2022,37.5108954,126.8462892,일반고,0,1,16
B10,서울특별시교육청,7010072,2022,37.4449608,126.9056905005,일반고,4,1,39
B10,서울특별시교육청,7011319,2022,37.5534,127.02199,일반고,8,1,33
B10,서울특별시교육청,7010136,2022,37.4724219,126.9246039707,일반고,4,1,41
B10,서울특별시교육청,7010564,2022,37.6587121,127.0646094,일반고,2,1,28
B10,서울특별시교육청,7010589,2022,37.6869363,127.0487602,일반고,2,9,23
B10,서울특별시교육청,7011489,2022,37.4956806,127.0552866,특성화고,1,10,21
B10,서울특별시교육청,7010137,2022,37.4956806,127.0552866,일반고,1,1,22
B10,서울특별시교육청,7010073,2022,37.4895857,126.9342532,자율고,4,1,41
B10,서울특별시교육청,7010138,2022,37.5825384,127.0293181,자율고,8,1,30
B10,서울특별시교육청,7010833,2022,37.5814311,126.987844937,특성화고,8,11,33
B10,서울특별시교육청,7010139,2022,37.6227411,126.9112585,일반고,6,1,44
B10,서울특별시교육청,7010140,2022,37.57566445,126.9706482196,일반고,5,1,7
B10,서울특별시교육청,7010074,2022,37.503775,126.9054776,자율고,4,9,41
B10,서울특별시교육청,7010141,2022,37.5638447,127.0894276,일반고,7,1,35
B10,서울특별시교육청,7010142,2022,37.5638447,127.0894276,일반고,7,1,36
B10,서울특별시교육청,7010143,2022,37.5638447,127.0894276,특목고,7,2,36
B10,서울특별시교육청,7010144,2022,37.5344645,126.8635144,일반고,0,1,16
